model,dataflow,array,layer,avf,std_avf
Cifar-10 CNN,WS,32x32,conv3,0.5561281318082788,0.013266354298217098
Cifar-10 CNN,WS,32x32,conv4,0.49657830994654456,0.0032425687340604053
Cifar-10 CNN,WS,32x32,dense1,0.05233419956140351,0.0048911622608280745
Cifar-10 CNN,WS,32x32,classifier,0.013874698447310221,0.0010215905753510057
Cifar-10 CNN,WS,64x64,conv1,0.19574975652100263,0.0012023043742402646
Cifar-10 CNN,WS,64x64,conv2,0.34420507896577696,0.0032130918429575613
Cifar-10 CNN,WS,64x64,conv3,0.4083301551473641,0.009079328544537106
Cifar-10 CNN,WS,64x64,conv4,0.3818891682630908,0.0025198597450130067
Cifar-10 CNN,WS,64x64,dense1,0.048337429101221636,0.004840473905774424
Cifar-10 CNN,WS,64x64,classifier,0.00620210373778703,0.0005044320957706401
Cifar-10 CNN,WS,128x128,conv1,0.04893743913025066,0.00030057609356006615
Cifar-10 CNN,WS,128x128,conv2,0.13568851862781642,0.0012278391265668073
Cifar-10 CNN,WS,128x128,conv3,0.1534313712660525,0.0031664160949109346
Cifar-10 CNN,WS,128x128,conv4,0.1465915811884132,0.001082080062516728
Cifar-10 CNN,WS,128x128,dense1,0.04514631594430701,0.004677721637989963
Cifar-10 CNN,WS,128x128,classifier,0.0028985125463713646,0.0002504631686058673
Cifar-10 CNN,WS,256x256,conv1,0.012234359782562664,7.514402339001654e-05
Cifar-10 CNN,WS,256x256,conv2,0.048654202497589616,0.0004182496004282211
Cifar-10 CNN,WS,256x256,conv3,0.05609869870740553,0.001036682262965507
Cifar-10 CNN,WS,256x256,conv4,0.0556276987624644,0.0005128447515007008
Cifar-10 CNN,WS,256x256,dense1,0.04274855686852223,0.004510844526988565
Cifar-10 CNN,WS,256x256,classifier,0.001395997372637631,0.00012477065443482416
Cifar-10 CNN,WS,512x512,conv1,0.003058589945640666,1.8786005847504134e-05
Cifar-10 CNN,WS,512x512,conv2,0.019723350909116456,0.0001660554439634486
Cifar-10 CNN,WS,512x512,conv3,0.01925817673366901,0.00034118460135799033
Cifar-10 CNN,WS,512x512,conv4,0.021942440815195915,0.00025951069787161473
Cifar-10 CNN,WS,512x512,dense1,0.040074360156647275,0.004268785280240863
Cifar-10 CNN,WS,512x512,classifier,0.0006843359480368858,6.226708286596098e-05
Cifar-10 CNN,IS,32x32,conv1,0.32799981108862913,0.0014185461681683678
Cifar-10 CNN,IS,32x32,conv2,0.3427810793802737,0.002146974059998124
Cifar-10 CNN,IS,32x32,conv3,0.39541923868312767,0.007960425294333603
Cifar-10 CNN,IS,32x32,conv4,0.3527237207198921,0.002111500997431678
Cifar-10 CNN,IS,32x32,dense1,0.02160040579710145,0.0002665913630285495
Cifar-10 CNN,IS,32x32,classifier,0.007713979782034818,2.724241534269349e-05
Cifar-10 CNN,IS,64x64,conv1,0.14122770483699845,0.0005477164371538979
Cifar-10 CNN,IS,64x64,conv2,0.24163703008808698,0.001133357357694024
Cifar-10 CNN,IS,64x64,conv3,0.24648389702980064,0.004103931512753692
Cifar-10 CNN,IS,64x64,conv4,0.26914422984182096,0.0013284860442174312
Cifar-10 CNN,IS,64x64,dense1,0.009979316640584247,0.00011994525331879185
Cifar-10 CNN,IS,64x64,classifier,0.003271729406649179,7.258015766484027e-06
Cifar-10 CNN,IS,128x128,conv1,0.058532417692098694,0.00018814686772462204
Cifar-10 CNN,IS,128x128,conv2,0.17283721062339605,0.0005396131873423423
Cifar-10 CNN,IS,128x128,conv3,0.1432288604507498,0.001771866136257921
Cifar-10 CNN,IS,128x128,conv4,0.19589318802030242,0.0007312767215875765
Cifar-10 CNN,IS,128x128,dense1,0.004252249906871211,4.866721075301481e-05
Cifar-10 CNN,IS,128x128,classifier,0.0014746420038571145,1.87612860378926e-06
Cifar-10 CNN,IS,256x256,conv1,0.024129087906953714,5.9823397261954865e-05
Cifar-10 CNN,IS,256x256,conv2,0.12299044637519252,0.00023010985505953228
Cifar-10 CNN,IS,256x256,conv3,0.09821752303685898,0.0008769661342410153
Cifar-10 CNN,IS,256x256,conv4,0.07901034313631969,0.00021898121607979613
Cifar-10 CNN,IS,256x256,dense1,0.0016915632224189664,1.7671217184665967e-05
Cifar-10 CNN,IS,256x256,classifier,0.0006949265492854788,4.771344337851779e-07
Cifar-10 CNN,IS,512x512,conv1,0.010174198888809645,1.7308454825790238e-05
Cifar-10 CNN,IS,512x512,conv2,0.08430236082516597,0.00011851349248557154
Cifar-10 CNN,IS,512x512,conv3,0.03485898745537617,0.0002769956971323924
